# file...... output/LOAD19_data.csv
# date...... Wed May 11 08:05:47 2022
# user...... void
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,LOAD19:base_power_C, Bus342:measured_power.real, Bus342:measured_power.imag, Bus342:measured_voltage_C.real, Bus342:measured_voltage_C.imag, Bus342:measured_current_C.real, Bus342:measured_current_C.imag
2019-04-21 00:00:00 GMT,+8322.44,+3657.95,+4993.46,-7.0631,+238.847,+20.1884,+24.2856
2019-04-21 00:01:00 GMT,+8322.44,+3657.95,+4993.46,-7.0631,+238.847,+20.1884,+24.2856
2019-04-21 00:02:00 GMT,+8322.44,+3657.95,+4993.46,-7.0631,+238.847,+20.1884,+24.2856
2019-04-21 00:03:00 GMT,+8322.44,+3657.95,+4993.46,-7.0631,+238.847,+20.1884,+24.2856
2019-04-21 00:04:00 GMT,+8322.44,+3657.95,+4993.46,-7.0631,+238.847,+20.1884,+24.2856
2019-04-21 00:05:00 GMT,+8660.05,+3928.04,+5196.03,-7.2923,+238.157,+21.0358,+25.5354
2019-04-21 00:06:00 GMT,+8660.05,+3928.04,+5196.03,-7.2923,+238.157,+21.0358,+25.5354
2019-04-21 00:07:00 GMT,+8660.05,+3928.04,+5196.03,-7.2923,+238.157,+21.0358,+25.5354
2019-04-21 00:08:00 GMT,+8660.05,+3928.04,+5196.03,-7.2923,+238.157,+21.0358,+25.5354
2019-04-21 00:09:00 GMT,+8660.05,+3928.04,+5196.03,-7.2923,+238.157,+21.0358,+25.5354
2019-04-21 00:10:00 GMT,+8917.2,+4133.76,+5350.32,-7.47794,+237.664,+21.6786,+26.4906
2019-04-21 00:11:00 GMT,+8917.2,+4133.76,+5350.32,-7.47794,+237.664,+21.6786,+26.4906
2019-04-21 00:12:00 GMT,+8917.2,+4133.76,+5350.32,-7.47794,+237.664,+21.6786,+26.4906
2019-04-21 00:13:00 GMT,+8917.2,+4133.76,+5350.32,-7.47794,+237.664,+21.6786,+26.4906
2019-04-21 00:14:00 GMT,+8917.2,+4133.76,+5350.32,-7.47794,+237.664,+21.6786,+26.4906
2019-04-21 00:15:00 GMT,+9093.87,+4275.1,+5456.32,-7.6551,+237.447,+22.1041,+27.14
2019-04-21 00:16:00 GMT,+9093.87,+4275.1,+5456.32,-7.6551,+237.447,+22.1041,+27.14
2019-04-21 00:17:00 GMT,+9093.87,+4275.1,+5456.32,-7.6551,+237.447,+22.1041,+27.14
2019-04-21 00:18:00 GMT,+9093.87,+4275.1,+5456.32,-7.6551,+237.447,+22.1041,+27.14
2019-04-21 00:19:00 GMT,+9093.87,+4275.1,+5456.32,-7.6551,+237.447,+22.1041,+27.14
2019-04-21 00:20:00 GMT,+9190.08,+4352.06,+5514.05,-7.77001,+237.369,+22.3299,+27.4912
2019-04-21 00:21:00 GMT,+9190.08,+4352.06,+5514.05,-7.77001,+237.369,+22.3299,+27.4912
2019-04-21 00:22:00 GMT,+9190.08,+4352.06,+5514.05,-7.77001,+237.369,+22.3299,+27.4912
2019-04-21 00:23:00 GMT,+9190.08,+4352.06,+5514.05,-7.77001,+237.369,+22.3299,+27.4912
2019-04-21 00:24:00 GMT,+9190.08,+4352.06,+5514.05,-7.77001,+237.369,+22.3299,+27.4912
2019-04-21 00:25:00 GMT,+9205.82,+4364.65,+5523.49,-7.82256,+237.43,+22.3562,+27.543
2019-04-21 00:26:00 GMT,+9205.82,+4364.65,+5523.49,-7.82256,+237.43,+22.3562,+27.543
2019-04-21 00:27:00 GMT,+9205.82,+4364.65,+5523.49,-7.82256,+237.43,+22.3562,+27.543
2019-04-21 00:28:00 GMT,+9205.82,+4364.65,+5523.49,-7.82256,+237.43,+22.3562,+27.543
2019-04-21 00:29:00 GMT,+9205.82,+4364.65,+5523.49,-7.82256,+237.43,+22.3562,+27.543
2019-04-21 00:30:00 GMT,+9150.57,+4320.45,+5490.34,-7.86491,+237.567,+22.2056,+27.3401
2019-04-21 00:31:00 GMT,+9150.57,+4320.45,+5490.34,-7.86491,+237.567,+22.2056,+27.3401
2019-04-21 00:32:00 GMT,+9150.57,+4320.45,+5490.34,-7.86491,+237.567,+22.2056,+27.3401
2019-04-21 00:33:00 GMT,+9150.57,+4320.45,+5490.34,-7.86491,+237.567,+22.2056,+27.3401
2019-04-21 00:34:00 GMT,+9150.57,+4320.45,+5490.34,-7.86491,+237.567,+22.2056,+27.3401
2019-04-21 00:35:00 GMT,+8913.49,+4130.79,+5348.09,-7.70937,+238.193,+21.5971,+26.4377
2019-04-21 00:36:00 GMT,+8913.49,+4130.79,+5348.09,-7.70937,+238.193,+21.5971,+26.4377
2019-04-21 00:37:00 GMT,+8913.49,+4130.54,+5348.09,-7.7097,+238.194,+21.597,+26.4373
2019-04-21 00:38:00 GMT,+8913.49,+4129.23,+5348.09,-7.71142,+238.198,+21.5965,+26.4352
2019-04-21 00:39:00 GMT,+8913.49,+4126.85,+5348.09,-7.71455,+238.206,+21.5956,+26.4313
2019-04-21 00:40:00 GMT,+8730.92,+3973.53,+5238.56,-7.64467,+238.61,+21.1297,+25.743
2019-04-21 00:41:00 GMT,+8730.92,+3970.18,+5238.55,-7.64907,+238.62,+21.1285,+25.7375
2019-04-21 00:42:00 GMT,+8730.92,+3963.64,+5238.55,-7.65766,+238.641,+21.1261,+25.7269
2019-04-21 00:43:00 GMT,+8730.92,+3964.22,+5238.55,-7.6569,+238.639,+21.1263,+25.7278
2019-04-21 00:44:00 GMT,+8730.92,+3976.85,+5238.55,-7.64031,+238.599,+21.1309,+25.7484
2019-04-21 00:45:00 GMT,+8531.45,+3825.16,+5118.87,-7.50605,+239.044,+20.6284,+25.0163
2019-04-21 00:46:00 GMT,+8531.45,+3825.16,+5118.87,-7.50605,+239.044,+20.6284,+25.0163
2019-04-21 00:47:00 GMT,+8531.45,+3825.16,+5118.87,-7.50605,+239.044,+20.6284,+25.0163
2019-04-21 00:48:00 GMT,+8531.45,+3825.16,+5118.87,-7.50605,+239.044,+20.6284,+25.0163
2019-04-21 00:49:00 GMT,+8531.45,+3825.16,+5118.87,-7.50605,+239.044,+20.6284,+25.0163
2019-04-21 00:50:00 GMT,+8454.14,+3763.31,+5072.48,-7.42132,+239.273,+20.4328,+24.7205
2019-04-21 00:51:00 GMT,+8454.14,+3763.31,+5072.48,-7.42132,+239.273,+20.4328,+24.7205
2019-04-21 00:52:00 GMT,+8454.14,+3763.31,+5072.48,-7.42132,+239.273,+20.4328,+24.7205
2019-04-21 00:53:00 GMT,+8454.14,+3762.15,+5072.48,-7.42285,+239.276,+20.4324,+24.7187
2019-04-21 00:54:00 GMT,+8454.14,+3756.41,+5072.48,-7.4304,+239.294,+20.4304,+24.7094
2019-04-21 00:55:00 GMT,+8381.85,+3697.28,+5029.11,-7.29726,+239.641,+20.2426,+24.4135
2019-04-21 00:56:00 GMT,+8381.85,+3701.74,+5029.11,-7.29138,+239.627,+20.2442,+24.4206
2019-04-21 00:57:00 GMT,+8381.85,+3705.48,+5029.11,-7.28645,+239.615,+20.2455,+24.4266
2019-04-21 00:58:00 GMT,+8381.85,+3705.48,+5029.11,-7.28645,+239.615,+20.2455,+24.4266
2019-04-21 00:59:00 GMT,+8381.85,+3702.87,+5029.11,-7.28988,+239.623,+20.2446,+24.4224
2019-04-21 01:00:00 GMT,+8311.15,+3646.35,+4986.69,-7.19822,+239.865,+20.0649,+24.149
2019-04-21 01:01:00 GMT,+8311.15,+3647.46,+4986.69,-7.19675,+239.861,+20.0653,+24.1508
2019-04-21 01:02:00 GMT,+8311.15,+3648.91,+4986.69,-7.19484,+239.857,+20.0658,+24.1531
2019-04-21 01:03:00 GMT,+8311.15,+3648.92,+4986.69,-7.19483,+239.857,+20.0658,+24.1532
2019-04-21 01:04:00 GMT,+8311.15,+3648.92,+4986.69,-7.19483,+239.857,+20.0658,+24.1532
2019-04-21 01:05:00 GMT,+8324.36,+3659.49,+4994.62,-7.14237,+239.952,+20.0953,+24.1841
2019-04-21 01:06:00 GMT,+8324.36,+3659.49,+4994.62,-7.14237,+239.952,+20.0953,+24.1841
2019-04-21 01:07:00 GMT,+8324.36,+3659.49,+4994.62,-7.14237,+239.952,+20.0953,+24.1841
2019-04-21 01:08:00 GMT,+8324.36,+3659.49,+4994.62,-7.14237,+239.952,+20.0953,+24.1841
2019-04-21 01:09:00 GMT,+8324.36,+3659.49,+4994.62,-7.14237,+239.952,+20.0953,+24.1841
2019-04-21 01:10:00 GMT,+8455.72,+3764.58,+5073.43,-7.24193,+239.786,+20.4135,+24.6571
2019-04-21 01:11:00 GMT,+8455.72,+3764.58,+5073.43,-7.24193,+239.786,+20.4135,+24.6571
2019-04-21 01:12:00 GMT,+8455.72,+3764.58,+5073.43,-7.24193,+239.786,+20.4135,+24.6571
2019-04-21 01:13:00 GMT,+8455.72,+3764.58,+5073.43,-7.24193,+239.786,+20.4135,+24.6571
2019-04-21 01:14:00 GMT,+8455.72,+3764.58,+5073.43,-7.24193,+239.786,+20.4135,+24.6571
2019-04-21 01:15:00 GMT,+8394.12,+3715.29,+5036.47,-7.21668,+239.769,+20.2697,+24.4467
2019-04-21 01:16:00 GMT,+8394.12,+3715.29,+5036.47,-7.21668,+239.769,+20.2697,+24.4467
2019-04-21 01:17:00 GMT,+8394.12,+3715.29,+5036.47,-7.21668,+239.769,+20.2697,+24.4467
2019-04-21 01:18:00 GMT,+8394.12,+3715.29,+5036.47,-7.21668,+239.769,+20.2697,+24.4467
2019-04-21 01:19:00 GMT,+8394.12,+3715.29,+5036.47,-7.21668,+239.769,+20.2697,+24.4467
2019-04-21 01:20:00 GMT,+8238.41,+3590.73,+4943.05,-7.27071,+239.774,+19.8901,+23.9198
2019-04-21 01:21:00 GMT,+8238.41,+3590.73,+4943.05,-7.27071,+239.774,+19.8901,+23.9198
