# file...... output/LOAD10_data.csv
# date...... Wed May 11 08:05:47 2022
# user...... void
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,LOAD10:base_power_B, Bus248:measured_power.real, Bus248:measured_power.imag, Bus248:measured_voltage_B.real, Bus248:measured_voltage_B.imag, Bus248:measured_current_B.real, Bus248:measured_current_B.imag
2019-04-21 00:00:00 GMT,+7427.72,+3000,+4456.63,-201.687,-122.835,-27.7604,+5.18968
2019-04-21 00:01:00 GMT,+7427.72,+3000,+4456.63,-201.687,-122.835,-27.7604,+5.18968
2019-04-21 00:02:00 GMT,+7427.72,+3000,+4456.63,-201.687,-122.835,-27.7604,+5.18968
2019-04-21 00:03:00 GMT,+7427.72,+3000,+4456.63,-201.687,-122.835,-27.7604,+5.18968
2019-04-21 00:04:00 GMT,+7427.72,+3000,+4456.63,-201.687,-122.835,-27.7604,+5.18968
2019-04-21 00:05:00 GMT,+7618.27,+3094.61,+4570.96,-200.887,-122.421,-28.6041,+5.32253
2019-04-21 00:06:00 GMT,+7618.27,+3094.61,+4570.96,-200.887,-122.421,-28.6041,+5.32253
2019-04-21 00:07:00 GMT,+7618.27,+3094.61,+4570.96,-200.887,-122.421,-28.6041,+5.32253
2019-04-21 00:08:00 GMT,+7618.27,+3094.61,+4570.96,-200.887,-122.421,-28.6041,+5.32253
2019-04-21 00:09:00 GMT,+7618.27,+3094.61,+4570.96,-200.887,-122.421,-28.6041,+5.32253
2019-04-21 00:10:00 GMT,+7761.64,+3209.31,+4656.98,-200.264,-122.088,-29.2995,+5.39217
2019-04-21 00:11:00 GMT,+7761.64,+3209.31,+4656.98,-200.264,-122.088,-29.2995,+5.39217
2019-04-21 00:12:00 GMT,+7761.64,+3209.31,+4656.98,-200.264,-122.088,-29.2995,+5.39217
2019-04-21 00:13:00 GMT,+7761.64,+3209.31,+4656.98,-200.264,-122.088,-29.2995,+5.39217
2019-04-21 00:14:00 GMT,+7761.64,+3209.31,+4656.98,-200.264,-122.088,-29.2995,+5.39217
2019-04-21 00:15:00 GMT,+7857.82,+3286.26,+4714.69,-199.869,-121.91,-29.7635,+5.43471
2019-04-21 00:16:00 GMT,+7857.82,+3286.26,+4714.69,-199.869,-121.91,-29.7635,+5.43471
2019-04-21 00:17:00 GMT,+7857.82,+3286.26,+4714.69,-199.869,-121.91,-29.7635,+5.43471
2019-04-21 00:18:00 GMT,+7857.82,+3286.26,+4714.69,-199.869,-121.91,-29.7635,+5.43471
2019-04-21 00:19:00 GMT,+7857.82,+3286.26,+4714.69,-199.869,-121.91,-29.7635,+5.43471
2019-04-21 00:20:00 GMT,+7906.83,+3325.46,+4744.1,-199.637,-121.794,-30.0056,+5.45789
2019-04-21 00:21:00 GMT,+7906.83,+3325.46,+4744.1,-199.637,-121.794,-30.0056,+5.45789
2019-04-21 00:22:00 GMT,+7906.83,+3325.46,+4744.1,-199.637,-121.794,-30.0056,+5.45789
2019-04-21 00:23:00 GMT,+7906.83,+3325.46,+4744.1,-199.637,-121.794,-30.0056,+5.45789
2019-04-21 00:24:00 GMT,+7906.83,+3325.46,+4744.1,-199.637,-121.794,-30.0056,+5.45789
2019-04-21 00:25:00 GMT,+7908.66,+3326.93,+4745.2,-199.567,-121.743,-30.0242,+5.46165
2019-04-21 00:26:00 GMT,+7908.66,+3326.93,+4745.2,-199.567,-121.743,-30.0242,+5.46165
2019-04-21 00:27:00 GMT,+7908.66,+3326.93,+4745.2,-199.567,-121.743,-30.0242,+5.46165
2019-04-21 00:28:00 GMT,+7908.66,+3326.93,+4745.2,-199.567,-121.743,-30.0242,+5.46165
2019-04-21 00:29:00 GMT,+7908.66,+3326.93,+4745.2,-199.567,-121.743,-30.0242,+5.46165
2019-04-21 00:30:00 GMT,+7742.09,+3193.67,+4645.25,-199.973,-121.924,-29.2584,+5.39044
2019-04-21 00:31:00 GMT,+7742.09,+3193.67,+4645.25,-199.973,-121.924,-29.2584,+5.39044
2019-04-21 00:32:00 GMT,+7742.09,+3193.67,+4645.25,-199.973,-121.924,-29.2584,+5.39044
2019-04-21 00:33:00 GMT,+7742.09,+3193.67,+4645.25,-199.973,-121.924,-29.2584,+5.39044
2019-04-21 00:34:00 GMT,+7742.09,+3193.67,+4645.25,-199.973,-121.924,-29.2584,+5.39044
2019-04-21 00:35:00 GMT,+7669.68,+3135.75,+4601.81,-200.333,-122.044,-28.9032,+5.36288
2019-04-21 00:36:00 GMT,+7669.68,+3135.75,+4601.81,-200.333,-122.044,-28.9032,+5.36288
2019-04-21 00:37:00 GMT,+7669.68,+3135.5,+4601.81,-200.333,-122.044,-28.9028,+5.36301
2019-04-21 00:38:00 GMT,+7669.68,+3134.18,+4601.81,-200.336,-122.048,-28.9008,+5.36371
2019-04-21 00:39:00 GMT,+7669.68,+3131.81,+4601.81,-200.34,-122.053,-28.8971,+5.36497
2019-04-21 00:40:00 GMT,+7570.07,+3044.86,+4542.05,-200.663,-122.193,-28.4223,+5.32753
2019-04-21 00:41:00 GMT,+7570.07,+3041.5,+4542.04,-200.669,-122.201,-28.4172,+5.32931
2019-04-21 00:42:00 GMT,+7570.07,+3034.96,+4542.04,-200.68,-122.217,-28.4073,+5.33279
2019-04-21 00:43:00 GMT,+7570.07,+3035.55,+4542.04,-200.679,-122.216,-28.4082,+5.33248
2019-04-21 00:44:00 GMT,+7570.07,+3048.17,+4542.04,-200.657,-122.185,-28.4274,+5.32577
2019-04-21 00:45:00 GMT,+7381.67,+2905.33,+4429,-200.942,-122.254,-27.6039,+5.24685
2019-04-21 00:46:00 GMT,+7381.67,+2905.33,+4429,-200.942,-122.254,-27.6039,+5.24685
2019-04-21 00:47:00 GMT,+7381.67,+2905.33,+4429,-200.942,-122.254,-27.6039,+5.24685
2019-04-21 00:48:00 GMT,+7381.67,+2905.33,+4429,-200.942,-122.254,-27.6039,+5.24685
2019-04-21 00:49:00 GMT,+7381.67,+2905.33,+4429,-200.942,-122.254,-27.6039,+5.24685
2019-04-21 00:50:00 GMT,+7337.15,+2869.72,+4402.29,-201.194,-122.399,-27.3816,+5.22289
2019-04-21 00:51:00 GMT,+7337.15,+2869.72,+4402.29,-201.194,-122.399,-27.3816,+5.22289
2019-04-21 00:52:00 GMT,+7337.15,+2869.72,+4402.29,-201.194,-122.399,-27.3816,+5.22289
2019-04-21 00:53:00 GMT,+7337.15,+2868.56,+4402.29,-201.196,-122.402,-27.3798,+5.22351
2019-04-21 00:54:00 GMT,+7337.15,+2862.82,+4402.29,-201.206,-122.416,-27.3712,+5.22659
2019-04-21 00:55:00 GMT,+7323.05,+2850.24,+4393.83,-201.278,-122.438,-27.3011,+5.22228
2019-04-21 00:56:00 GMT,+7323.05,+2854.69,+4393.83,-201.27,-122.427,-27.3078,+5.21989
2019-04-21 00:57:00 GMT,+7323.05,+2858.44,+4393.83,-201.264,-122.418,-27.3134,+5.21788
2019-04-21 00:58:00 GMT,+7323.05,+2858.44,+4393.83,-201.264,-122.418,-27.3134,+5.21788
2019-04-21 00:59:00 GMT,+7323.05,+2855.83,+4393.83,-201.268,-122.425,-27.3095,+5.21928
2019-04-21 01:00:00 GMT,+7390.11,+2909.52,+4434.07,-201.289,-122.425,-27.5906,+5.24763
2019-04-21 01:01:00 GMT,+7390.11,+2910.63,+4434.06,-201.287,-122.422,-27.5922,+5.24704
2019-04-21 01:02:00 GMT,+7390.11,+2912.07,+4434.06,-201.284,-122.419,-27.5944,+5.24626
2019-04-21 01:03:00 GMT,+7390.11,+2912.09,+4434.06,-201.284,-122.419,-27.5944,+5.24626
2019-04-21 01:04:00 GMT,+7390.11,+2912.09,+4434.06,-201.284,-122.419,-27.5944,+5.24626
2019-04-21 01:05:00 GMT,+7280.52,+2824.41,+4368.31,-201.267,-122.409,-27.1337,+5.20159
2019-04-21 01:06:00 GMT,+7280.52,+2824.41,+4368.31,-201.267,-122.409,-27.1337,+5.20159
2019-04-21 01:07:00 GMT,+7280.52,+2824.41,+4368.31,-201.267,-122.409,-27.1337,+5.20159
2019-04-21 01:08:00 GMT,+7280.52,+2824.41,+4368.31,-201.267,-122.409,-27.1337,+5.20159
2019-04-21 01:09:00 GMT,+7280.52,+2824.41,+4368.31,-201.267,-122.409,-27.1337,+5.20159
2019-04-21 01:10:00 GMT,+7284.09,+2827.27,+4370.45,-201.252,-122.383,-27.1516,+5.20522
2019-04-21 01:11:00 GMT,+7284.09,+2827.27,+4370.45,-201.252,-122.383,-27.1516,+5.20522
2019-04-21 01:12:00 GMT,+7284.09,+2827.27,+4370.45,-201.252,-122.383,-27.1516,+5.20522
2019-04-21 01:13:00 GMT,+7284.09,+2827.27,+4370.45,-201.252,-122.383,-27.1516,+5.20522
2019-04-21 01:14:00 GMT,+7284.09,+2827.27,+4370.45,-201.252,-122.383,-27.1516,+5.20522
2019-04-21 01:15:00 GMT,+7273.71,+2818.97,+4364.23,-201.237,-122.417,-27.1079,+5.19659
