# file...... output/LOAD34_data.csv
# date...... Fri May  6 17:10:28 2022
# user...... void
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,LOAD34:base_power_A, Bus629:measured_power.real, inv_34_sol:VA_Out.real, inv_34_batt:VA_Out.real, Bus629:measured_voltage_A.real, Bus629:measured_current_A.real
2019-04-21 00:00:00 GMT,+7884.58,+2916.73,+375.832,+3000,+206.377,+11.0283
2019-04-21 00:01:00 GMT,+7884.58,+2917.71,+389.96,+3000,+206.379,+11.0312
2019-04-21 00:02:00 GMT,+7884.58,+2885.64,+421.806,+3000,+206.508,+10.9876
2019-04-21 00:03:00 GMT,+7884.58,+2870.98,+436.579,+3000,+206.567,+10.9678
2019-04-21 00:04:00 GMT,+7884.58,+2858,+449.575,+3000,+206.619,+10.9502
2019-04-21 00:05:00 GMT,+8270.87,+3155.02,+461.639,+3000,+205.484,+11.8645
2019-04-21 00:06:00 GMT,+8270.87,+3142.69,+473.907,+3000,+205.534,+11.8475
2019-04-21 00:07:00 GMT,+8270.87,+3129.47,+487.115,+3000,+205.587,+11.8293
2019-04-21 00:08:00 GMT,+8270.87,+3085.42,+530.894,+3000,+205.766,+11.7686
2019-04-21 00:09:00 GMT,+8270.87,+3071.84,+544.734,+3000,+205.821,+11.7499
2019-04-21 00:10:00 GMT,+8583.61,+3308.17,+558.664,+3000,+204.922,+12.5004
2019-04-21 00:11:00 GMT,+8583.61,+3295.85,+570.916,+3000,+204.972,+12.4832
2019-04-21 00:12:00 GMT,+8583.61,+3282.74,+584.021,+3000,+205.026,+12.4649
2019-04-21 00:13:00 GMT,+8583.61,+3268.5,+598.239,+3000,+205.084,+12.445
2019-04-21 00:14:00 GMT,+8583.61,+3254.61,+612.133,+3000,+205.14,+12.4256
2019-04-21 00:15:00 GMT,+8822.79,+3433.83,+624.368,+3000,+204.465,+13.0069
2019-04-21 00:16:00 GMT,+8822.79,+3420.33,+637.762,+3000,+204.52,+12.9879
2019-04-21 00:17:00 GMT,+8822.79,+3406.97,+651.116,+3000,+204.575,+12.969
2019-04-21 00:18:00 GMT,+8822.79,+3391.92,+666.143,+3000,+204.637,+12.9478
2019-04-21 00:19:00 GMT,+8822.79,+3377.19,+680.879,+3000,+204.697,+12.927
2019-04-21 00:20:00 GMT,+8988.43,+3496.58,+695.358,+3000,+204.256,+13.3281
2019-04-21 00:21:00 GMT,+8988.43,+3484.08,+706.522,+3000,+204.311,+13.3089
