# file...... output/LOAD46_data.csv
# date...... Sat May  7 09:16:15 2022
# user...... void
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,LOAD46:base_power_A, Bus817:measured_power.real, Bus817:measured_power.imag, inv_46_sol:VA_Out.real, inv_46_batt:VA_Out.real, Bus817:measured_voltage_A.real, Bus817:measured_voltage_A.imag, Bus817:measured_current_A.real, Bus817:measured_current_A.imag, batt_46:state_of_charge
2019-04-21 00:00:00 GMT,+3340.96,+2672.77,+2004.58,+0,-0,+206.49,-107.837,+6.18669,-12.9387,+0.5
2019-04-21 00:01:00 GMT,+3340.96,+2672.77,+2004.58,+0,-0,+206.49,-107.837,+6.18669,-12.9387,+0.5
2019-04-21 00:02:00 GMT,+3340.96,+2672.77,+2004.58,+0,-0,+206.49,-107.837,+6.18669,-12.9387,+0.5
2019-04-21 00:03:00 GMT,+3340.96,+2672.77,+2004.58,+0,-0,+206.49,-107.837,+6.18669,-12.9387,+0.5
2019-04-21 00:04:00 GMT,+3340.96,+2672.77,+2004.58,+0,-0,+206.49,-107.837,+6.18669,-12.9387,+0.5
2019-04-21 00:05:00 GMT,+3599.84,+2879.87,+2159.9,+0,-0,+205.389,-106.598,+6.74635,-14.0176,+0.5
2019-04-21 00:06:00 GMT,+3599.84,+2879.87,+2159.9,+0,-0,+205.389,-106.598,+6.74635,-14.0176,+0.5
2019-04-21 00:07:00 GMT,+3599.84,+2879.87,+2159.9,+0,-0,+205.389,-106.598,+6.74635,-14.0176,+0.5
2019-04-21 00:08:00 GMT,+3599.84,+2879.87,+2159.9,+0,-0,+205.389,-106.598,+6.74635,-14.0176,+0.5
2019-04-21 00:09:00 GMT,+3599.84,+2879.87,+2159.9,+0,-0,+205.389,-106.598,+6.74635,-14.0176,+0.5
2019-04-21 00:10:00 GMT,+3815.14,+3000,+2289.08,+0,+52.1126,+204.543,-105.595,+7.15287,-14.8839,+0.5
2019-04-21 00:11:00 GMT,+3815.14,+3000,+2289.08,+0,+52.1126,+204.543,-105.595,+7.15287,-14.8839,+0.499982
2019-04-21 00:12:00 GMT,+3815.14,+3000,+2289.08,+0,+52.1126,+204.543,-105.595,+7.15287,-14.8839,+0.499963
2019-04-21 00:13:00 GMT,+3815.14,+3000,+2289.08,+0,+52.1126,+204.543,-105.595,+7.15287,-14.8839,+0.499945
2019-04-21 00:14:00 GMT,+3815.14,+3000,+2289.08,+0,+52.1126,+204.543,-105.595,+7.15287,-14.8839,+0.499927
2019-04-21 00:15:00 GMT,+3986.86,+3000,+2392.12,+0,+189.489,+204.074,-104.855,+7.35504,-15.5009,+0.499909
2019-04-21 00:16:00 GMT,+3986.86,+3000,+2392.12,+0,+189.489,+204.074,-104.855,+7.35504,-15.5009,+0.499842
2019-04-21 00:17:00 GMT,+3986.86,+3000,+2392.12,+0,+189.489,+204.074,-104.855,+7.35504,-15.5009,+0.499775
2019-04-21 00:18:00 GMT,+3986.86,+3000,+2392.12,+0,+189.489,+204.074,-104.855,+7.35504,-15.5009,+0.499709
2019-04-21 00:19:00 GMT,+3986.86,+3000,+2392.12,+0,+189.489,+204.074,-104.855,+7.35504,-15.5009,+0.499642
2019-04-21 00:20:00 GMT,+4115,+3000,+2469,+0,+292.001,+203.769,-104.335,+7.50598,-15.9599,+0.499575
2019-04-21 00:21:00 GMT,+4115,+3000,+2469,+0,+292.001,+203.769,-104.335,+7.50598,-15.9599,+0.499473
2019-04-21 00:22:00 GMT,+4115,+3000,+2469,+0,+292.001,+203.769,-104.335,+7.50598,-15.9599,+0.49937
2019-04-21 00:23:00 GMT,+4115,+3000,+2469,+0,+292.001,+203.769,-104.335,+7.50598,-15.9599,+0.499267
2019-04-21 00:24:00 GMT,+4115,+3000,+2469,+0,+292.001,+203.769,-104.335,+7.50598,-15.9599,+0.499164
2019-04-21 00:25:00 GMT,+4199.56,+3000,+2519.74,+0,+359.65,+203.634,-104.038,+7.60322,-16.2584,+0.499062
2019-04-21 00:26:00 GMT,+4199.56,+3000,+2519.74,+0,+359.65,+203.634,-104.038,+7.60322,-16.2584,+0.498935
2019-04-21 00:27:00 GMT,+4199.56,+3000,+2519.74,+0,+359.65,+203.634,-104.038,+7.60322,-16.2584,+0.498808
2019-04-21 00:28:00 GMT,+4199.56,+3000,+2519.74,+0,+359.65,+203.634,-104.038,+7.60322,-16.2584,+0.498682
2019-04-21 00:29:00 GMT,+4199.56,+3000,+2519.74,+0,+359.65,+203.634,-104.038,+7.60322,-16.2584,+0.498555
2019-04-21 00:30:00 GMT,+4132.1,+2946.03,+2479.26,+0,+359.65,+203.866,-104.386,+7.44741,-15.9745,+0.498428
2019-04-21 00:31:00 GMT,+4132.1,+2946.03,+2479.26,+0,+359.65,+203.866,-104.386,+7.44741,-15.9745,+0.498302
2019-04-21 00:32:00 GMT,+4132.1,+2946.03,+2479.26,+0,+359.65,+203.866,-104.386,+7.44741,-15.9745,+0.498175
2019-04-21 00:33:00 GMT,+4132.1,+2946.03,+2479.26,+0,+359.65,+203.866,-104.386,+7.44741,-15.9745,+0.498048
2019-04-21 00:34:00 GMT,+4132.1,+2946.03,+2479.26,+0,+359.65,+203.866,-104.386,+7.44741,-15.9745,+0.497922
2019-04-21 00:35:00 GMT,+4073.16,+2898.87,+2443.89,+0,+359.65,+204.315,-104.675,+7.31395,-15.7085,+0.497795
2019-04-21 00:36:00 GMT,+4073.16,+2898.87,+2443.89,+0,+359.65,+204.315,-104.675,+7.31395,-15.7085,+0.497669
2019-04-21 00:37:00 GMT,+4073.16,+2898.62,+2443.89,+0.250206,+359.65,+204.316,-104.675,+7.31362,-15.7082,+0.497542
2019-04-21 00:38:00 GMT,+4073.16,+2897.31,+2443.89,+1.56069,+359.65,+204.322,-104.677,+7.31186,-15.7069,+0.497415
2019-04-21 00:39:00 GMT,+4073.16,+2894.94,+2443.89,+3.93851,+359.65,+204.332,-104.678,+7.30867,-15.7046,+0.497289
2019-04-21 00:40:00 GMT,+4045.84,+2865.81,+2427.51,+11.1851,+359.65,+204.655,-104.929,+7.22932,-15.568,+0.497162
2019-04-21 00:41:00 GMT,+4045.84,+2862.46,+2427.5,+14.5595,+359.65,+204.67,-104.932,+7.22484,-15.5647,+0.497035
2019-04-21 00:42:00 GMT,+4045.84,+2855.92,+2427.5,+21.0949,+359.65,+204.697,-104.937,+7.2161,-15.5583,+0.496909
2019-04-21 00:43:00 GMT,+4045.84,+2856.51,+2427.5,+20.5135,+359.65,+204.695,-104.936,+7.21688,-15.5588,+0.496782
2019-04-21 00:44:00 GMT,+4045.84,+2869.13,+2427.5,+7.89366,+359.65,+204.641,-104.926,+7.23375,-15.5712,+0.496655
2019-04-21 00:45:00 GMT,+4048.42,+2879.09,+2429.05,+0,+359.65,+204.918,-105.097,+7.23696,-15.5654,+0.496529
2019-04-21 00:46:00 GMT,+4048.42,+2879.09,+2429.05,+0,+359.65,+204.918,-105.097,+7.23696,-15.5654,+0.496402
2019-04-21 00:47:00 GMT,+4048.42,+2879.09,+2429.05,+0,+359.65,+204.918,-105.097,+7.23696,-15.5654,+0.496275
2019-04-21 00:48:00 GMT,+4048.42,+2879.09,+2429.05,+0,+359.65,+204.918,-105.097,+7.23696,-15.5654,+0.496149
2019-04-21 00:49:00 GMT,+4048.42,+2879.09,+2429.05,+0,+359.65,+204.918,-105.097,+7.23696,-15.5654,+0.496022
2019-04-21 00:50:00 GMT,+4069.68,+2896.1,+2441.81,+0,+359.65,+205.278,-105.422,+7.25412,-15.6206,+0.495895
2019-04-21 00:51:00 GMT,+4069.68,+2896.1,+2441.81,+0,+359.65,+205.278,-105.422,+7.25412,-15.6206,+0.495769
2019-04-21 00:52:00 GMT,+4069.68,+2896.1,+2441.81,+0,+359.65,+205.278,-105.422,+7.25412,-15.6206,+0.495642
2019-04-21 00:53:00 GMT,+4069.68,+2894.94,+2441.81,+1.16067,+359.65,+205.283,-105.423,+7.25258,-15.6194,+0.495515
2019-04-21 00:54:00 GMT,+4069.68,+2889.19,+2441.81,+6.90232,+359.65,+205.307,-105.428,+7.24493,-15.6138,+0.495389
