# file...... output/Bus22_data.csv
# date...... Mon Nov 29 00:16:26 2021
# user...... void
# host...... thiccpad
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,House22:base_power_A, Bus22:measured_power.real, inv_22_sol:VA_Out.real, inv_22_batt:VA_Out.real
2019-09-30 00:00:00 GMT,+0,+44999.1,+0.882885,-45000
2019-09-30 00:01:00 GMT,+12700,+7701.18,+16.6687,+2442.15
2019-09-30 00:02:00 GMT,+12700,+7716.66,+1.24402,+2442.09
2019-09-30 00:03:00 GMT,+12700,+7717.96,+0,+2442.04
2019-09-30 00:04:00 GMT,+12700,+7717.96,+0,+2442.04
2019-09-30 00:05:00 GMT,+12700,+7717.02,+0.995216,+2441.98
2019-09-30 00:06:00 GMT,+12700,+7715.84,+2.23922,+2441.92
2019-09-30 00:07:00 GMT,+12700,+7716.22,+1.91634,+2441.86
2019-09-30 00:08:00 GMT,+12700,+7716.39,+1.80601,+2441.81
2019-09-30 00:09:00 GMT,+12700,+7718.25,+0,+2441.75
2019-09-30 00:10:00 GMT,+12700,+7717.57,+0.734183,+2441.69
2019-09-30 00:11:00 GMT,+12700,+7715.17,+3.19227,+2441.64
2019-09-30 00:12:00 GMT,+12700,+7705.71,+12.7139,+2441.58
2019-09-30 00:13:00 GMT,+12700,+7710.55,+7.92643,+2441.52
2019-09-30 00:14:00 GMT,+12700,+7706.44,+12.0975,+2441.46
2019-09-30 00:15:00 GMT,+12700,+7706.47,+12.1276,+2441.41
2019-09-30 00:16:00 GMT,+12700,+7714.18,+4.47431,+2441.35
2019-09-30 00:17:00 GMT,+12700,+7715.47,+3.23443,+2441.29
2019-09-30 00:18:00 GMT,+12700,+7718.77,+0,+2441.23
2019-09-30 00:19:00 GMT,+12700,+7714.35,+4.47847,+2441.18
2019-09-30 00:20:00 GMT,+12300,+7398.88,+0,+2441.12
2019-09-30 00:21:00 GMT,+12300,+7315.07,+1.74166,+2523.18
2019-09-30 00:22:00 GMT,+12300,+7315.88,+0.995245,+2523.12
2019-09-30 00:23:00 GMT,+12300,+7316.94,+0,+2523.06
2019-09-30 00:24:00 GMT,+12300,+7316.94,+0.0580721,+2523
2019-09-30 00:25:00 GMT,+12300,+7315,+2.05864,+2522.94
2019-09-30 00:26:00 GMT,+12300,+7315.34,+1.78279,+2522.88
2019-09-30 00:27:00 GMT,+12300,+7315.68,+1.50046,+2522.82
2019-09-30 00:28:00 GMT,+12300,+7314.51,+2.73687,+2522.76
2019-09-30 00:29:00 GMT,+12300,+7317.31,+0,+2522.69
2019-09-30 00:30:00 GMT,+12300,+7316.5,+0.868174,+2522.63
2019-09-30 00:31:00 GMT,+12300,+7312.31,+5.11462,+2522.57
2019-09-30 00:32:00 GMT,+12300,+7314.18,+3.31067,+2522.51
2019-09-30 00:33:00 GMT,+12300,+7317.55,+0,+2522.45
2019-09-30 00:34:00 GMT,+12300,+7312.14,+5.47367,+2522.39
2019-09-30 00:35:00 GMT,+12300,+7317.67,+0,+2522.33
2019-09-30 00:36:00 GMT,+12300,+7317.73,+0,+2522.27
2019-09-30 00:37:00 GMT,+12300,+7315.06,+2.73689,+2522.2
2019-09-30 00:38:00 GMT,+12300,+7313.88,+3.98088,+2522.14
2019-09-30 00:39:00 GMT,+12300,+7317.92,+0,+2522.08
2019-09-30 00:40:00 GMT,+11700,+6700.84,+3.23449,+2655.92
2019-09-30 00:41:00 GMT,+11700,+6700.42,+3.65778,+2655.92
2019-09-30 00:42:00 GMT,+11700,+6699.03,+5.11603,+2655.85
2019-09-30 00:43:00 GMT,+11700,+6695.54,+8.67429,+2655.79
2019-09-30 00:44:00 GMT,+11700,+6697.73,+6.55041,+2655.72
2019-09-30 00:45:00 GMT,+11700,+6698.32,+6.0262,+2655.65
2019-09-30 00:46:00 GMT,+11700,+6698.41,+6.00905,+2655.58
2019-09-30 00:47:00 GMT,+11700,+6699.67,+4.81329,+2655.51
2019-09-30 00:48:00 GMT,+11700,+6696.19,+8.36335,+2655.45
2019-09-30 00:49:00 GMT,+11700,+6701.55,+3.06915,+2655.38
2019-09-30 00:50:00 GMT,+11700,+6703.2,+1.49287,+2655.31
2019-09-30 00:51:00 GMT,+11700,+6704.76,+0,+2655.24
2019-09-30 00:52:00 GMT,+11700,+6702.59,+2.2393,+2655.17
2019-09-30 00:53:00 GMT,+11700,+6701.91,+2.98572,+2655.11
2019-09-30 00:54:00 GMT,+11700,+6704.53,+0.426835,+2655.04
2019-09-30 00:55:00 GMT,+11700,+6702.54,+2.48811,+2654.97
2019-09-30 00:56:00 GMT,+11700,+6704.35,+0.746443,+2654.9
2019-09-30 00:57:00 GMT,+11700,+6703.42,+1.74167,+2654.83
