# file...... output/auction_price.csv
# date...... Mon Nov 29 00:16:26 2021
# user...... void
# host...... thiccpad
# target.... auction 2
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,current_market.clearing_price
2019-09-30 00:00:00 GMT,+3.5
2019-09-30 00:10:00 GMT,+3
2019-09-30 00:20:00 GMT,+3
2019-09-30 00:30:00 GMT,+3
2019-09-30 00:40:00 GMT,+3
2019-09-30 00:50:00 GMT,+3
2019-09-30 01:00:00 GMT,+3
2019-09-30 01:10:00 GMT,+3
2019-09-30 01:20:00 GMT,+3
2019-09-30 01:30:00 GMT,+3
2019-09-30 01:40:00 GMT,+3
2019-09-30 01:50:00 GMT,+3
2019-09-30 02:00:00 GMT,+3
2019-09-30 02:10:00 GMT,+3
2019-09-30 02:20:00 GMT,+3
2019-09-30 02:30:00 GMT,+3
2019-09-30 02:40:00 GMT,+3
2019-09-30 02:50:00 GMT,+3
2019-09-30 03:00:00 GMT,+3
2019-09-30 03:10:00 GMT,+3
2019-09-30 03:20:00 GMT,+3
2019-09-30 03:30:00 GMT,+3
2019-09-30 03:40:00 GMT,+3
2019-09-30 03:50:00 GMT,+3
2019-09-30 04:00:00 GMT,+3
2019-09-30 04:10:00 GMT,+3
2019-09-30 04:20:00 GMT,+3
2019-09-30 04:30:00 GMT,+3
2019-09-30 04:40:00 GMT,+3
2019-09-30 04:50:00 GMT,+3
2019-09-30 05:00:00 GMT,+3
2019-09-30 05:10:00 GMT,+3
2019-09-30 05:20:00 GMT,+3
2019-09-30 05:30:00 GMT,+3
2019-09-30 05:40:00 GMT,+3
2019-09-30 05:50:00 GMT,+3
2019-09-30 06:00:00 GMT,+3
2019-09-30 06:10:00 GMT,+3
2019-09-30 06:20:00 GMT,+3
2019-09-30 06:30:00 GMT,+3
2019-09-30 06:40:00 GMT,+3
2019-09-30 06:50:00 GMT,+3
2019-09-30 07:00:00 GMT,+3
2019-09-30 07:10:00 GMT,+3
2019-09-30 07:20:00 GMT,+3
2019-09-30 07:30:00 GMT,+3
2019-09-30 07:40:00 GMT,+3
