# file...... output/generator_node.csv
# date...... Sun Nov 14 18:05:30 2021
# user...... root
# host...... gentoo
# target.... node 9
# trigger... (none)
# interval.. 1
# limit..... -2147483648
# timestamp,voltage_A,voltage_B,voltage_C,voltage_AB,voltage_BC,voltage_CA,current_A,current_B,current_C,power_A,power_B,power_C,measured_angle_A,measured_frequency_A,measured_angle_B,measured_frequency_B,measured_angle_C,measured_frequency_C,measured_frequency
2019-09-30 00:00:35 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:36 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:37 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:38 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:39 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:40 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:41 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:42 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:43 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:44 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:45 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:46 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:47 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:48 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:49 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:50 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:51 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:52 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:53 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:54 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:55 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:56 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:57 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
