# file...... output/batt_22_soc.csv
# date...... Mon Nov 29 00:16:26 2021
# user...... void
# host...... thiccpad
# target.... battery 48
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,state_of_charge
2019-09-30 19:30:00 GMT,+0.634576
2019-09-30 19:40:00 GMT,+0.638074
2019-09-30 19:50:00 GMT,+0.634132
2019-09-30 20:00:00 GMT,+0.629363
2019-09-30 20:10:00 GMT,+0.624744
2019-09-30 20:20:00 GMT,+0.620142
2019-09-30 20:30:00 GMT,+0.615696
2019-09-30 20:40:00 GMT,+0.611249
2019-09-30 20:50:00 GMT,+0.607017
2019-09-30 21:00:00 GMT,+0.602785
2019-09-30 21:10:00 GMT,+0.598685
2019-09-30 21:20:00 GMT,+0.594585
2019-09-30 21:30:00 GMT,+0.590609
2019-09-30 21:40:00 GMT,+0.586633
2019-09-30 21:50:00 GMT,+0.582829
2019-09-30 22:00:00 GMT,+0.579025
2019-09-30 22:10:00 GMT,+0.575354
2019-09-30 22:20:00 GMT,+0.571683
2019-09-30 22:30:00 GMT,+0.568112
2019-09-30 22:40:00 GMT,+0.56454
2019-09-30 22:50:00 GMT,+0.561086
2019-09-30 23:00:00 GMT,+0.557632
2019-09-30 23:10:00 GMT,+0.554115
2019-09-30 23:20:00 GMT,+0.550591
2019-09-30 23:30:00 GMT,+0.546946
2019-09-30 23:40:00 GMT,+0.5433
2019-09-30 23:50:00 GMT,+0.539232
