# file...... output_power.csv
# date...... Mon Dec  6 13:45:13 2021
# user...... void
# host...... (null)
# target.... transformer 1025
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,power_out.real,power_out.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,power_out_C.real,power_out_C.imag
2019-09-30 00:41:00 GMT,+36085,+11809.6,+13712.8,+4466.99,+12511.2,+4112.93,+9861.01,+3229.66
2019-09-30 00:42:00 GMT,+36085,+11809.6,+13712.8,+4466.99,+12511.2,+4112.93,+9861.01,+3229.66
2019-09-30 00:43:00 GMT,+36085,+11809.6,+13712.8,+4466.99,+12511.2,+4112.93,+9861.01,+3229.66
2019-09-30 00:44:00 GMT,+36085,+11809.6,+13712.8,+4466.99,+12511.2,+4112.93,+9861.01,+3229.66
2019-09-30 00:45:00 GMT,+36085,+11809.6,+13712.8,+4466.99,+12511.2,+4112.93,+9861.01,+3229.66
2019-09-30 00:46:00 GMT,+36085,+11809.6,+13712.8,+4466.99,+12511.2,+4112.93,+9861.01,+3229.66
2019-09-30 00:47:00 GMT,+36085,+11809.6,+13712.8,+4466.99,+12511.2,+4112.93,+9861.01,+3229.66
2019-09-30 00:48:00 GMT,+36085,+11809.6,+13712.8,+4466.99,+12511.2,+4112.93,+9861.01,+3229.66
2019-09-30 00:49:00 GMT,+36085,+11809.6,+13712.8,+4466.99,+12511.2,+4112.93,+9861.01,+3229.66
2019-09-30 00:50:00 GMT,+36085,+11809.6,+13712.8,+4466.99,+12511.2,+4112.93,+9861.01,+3229.66
2019-09-30 00:51:00 GMT,+36085,+11809.6,+13712.8,+4466.99,+12511.2,+4112.93,+9861.01,+3229.66
2019-09-30 00:52:00 GMT,+36085,+11809.6,+13712.8,+4466.99,+12511.2,+4112.93,+9861.01,+3229.66
2019-09-30 00:53:00 GMT,+36085,+11809.6,+13712.8,+4466.99,+12511.2,+4112.93,+9861.01,+3229.66
2019-09-30 00:54:00 GMT,+36085,+11809.6,+13712.8,+4466.99,+12511.2,+4112.93,+9861.01,+3229.66
2019-09-30 00:55:00 GMT,+36085,+11809.6,+13712.8,+4466.99,+12511.2,+4112.93,+9861.01,+3229.66
2019-09-30 00:56:00 GMT,+36085,+11809.6,+13712.8,+4466.99,+12511.2,+4112.93,+9861.01,+3229.66
2019-09-30 00:57:00 GMT,+36085,+11809.6,+13712.8,+4466.99,+12511.2,+4112.93,+9861.01,+3229.66
2019-09-30 00:58:00 GMT,+36085,+11809.6,+13712.8,+4466.99,+12511.2,+4112.93,+9861.01,+3229.66
2019-09-30 00:59:00 GMT,+36085,+11809.6,+13712.8,+4466.99,+12511.2,+4112.93,+9861.01,+3229.66
2019-09-30 01:00:00 GMT,+36039.7,+11794.8,+13667.5,+4452.18,+12511.2,+4112.86,+9861.04,+3229.71
2019-09-30 01:01:00 GMT,+36039.7,+11794.8,+13667.5,+4452.18,+12511.2,+4112.86,+9861.04,+3229.71
2019-09-30 01:02:00 GMT,+36039.7,+11794.8,+13667.5,+4452.18,+12511.2,+4112.86,+9861.04,+3229.71
2019-09-30 01:03:00 GMT,+36039.7,+11794.8,+13667.5,+4452.18,+12511.2,+4112.86,+9861.04,+3229.71
2019-09-30 01:04:00 GMT,+36039.7,+11794.8,+13667.5,+4452.18,+12511.2,+4112.86,+9861.04,+3229.71
2019-09-30 01:05:00 GMT,+36039.7,+11794.8,+13667.5,+4452.18,+12511.2,+4112.86,+9861.04,+3229.71
2019-09-30 01:06:00 GMT,+36039.7,+11794.8,+13667.5,+4452.18,+12511.2,+4112.86,+9861.04,+3229.71
2019-09-30 01:07:00 GMT,+36039.7,+11794.8,+13667.5,+4452.18,+12511.2,+4112.86,+9861.04,+3229.71
2019-09-30 01:08:00 GMT,+36039.7,+11794.8,+13667.5,+4452.18,+12511.2,+4112.86,+9861.04,+3229.71
2019-09-30 01:09:00 GMT,+36039.7,+11794.8,+13667.5,+4452.18,+12511.2,+4112.86,+9861.04,+3229.71
2019-09-30 01:10:00 GMT,+36039.7,+11794.8,+13667.5,+4452.18,+12511.2,+4112.86,+9861.04,+3229.71
2019-09-30 01:11:00 GMT,+36039.7,+11794.8,+13667.5,+4452.18,+12511.2,+4112.86,+9861.04,+3229.71
2019-09-30 01:12:00 GMT,+36039.7,+11794.8,+13667.5,+4452.18,+12511.2,+4112.86,+9861.04,+3229.71
2019-09-30 01:13:00 GMT,+36039.7,+11794.8,+13667.5,+4452.18,+12511.2,+4112.86,+9861.04,+3229.71
2019-09-30 01:14:00 GMT,+36039.7,+11794.8,+13667.5,+4452.18,+12511.2,+4112.86,+9861.04,+3229.71
2019-09-30 01:15:00 GMT,+36039.7,+11794.8,+13667.5,+4452.18,+12511.2,+4112.86,+9861.04,+3229.71
2019-09-30 01:16:00 GMT,+36039.7,+11794.8,+13667.5,+4452.18,+12511.2,+4112.86,+9861.04,+3229.71
2019-09-30 01:17:00 GMT,+36039.7,+11794.8,+13667.5,+4452.18,+12511.2,+4112.86,+9861.04,+3229.71
2019-09-30 01:18:00 GMT,+36039.7,+11794.8,+13667.5,+4452.18,+12511.2,+4112.86,+9861.04,+3229.71
2019-09-30 01:19:00 GMT,+36039.7,+11794.8,+13667.5,+4452.18,+12511.2,+4112.86,+9861.04,+3229.71
2019-09-30 01:20:00 GMT,+36004.5,+11783.2,+13632.2,+4440.66,+12511.3,+4112.81,+9861.06,+3229.76
2019-09-30 01:21:00 GMT,+36004.5,+11783.2,+13632.2,+4440.66,+12511.3,+4112.81,+9861.06,+3229.76
2019-09-30 01:22:00 GMT,+36004.5,+11783.2,+13632.2,+4440.66,+12511.3,+4112.81,+9861.06,+3229.76
2019-09-30 01:23:00 GMT,+36004.5,+11783.2,+13632.2,+4440.66,+12511.3,+4112.81,+9861.06,+3229.76
2019-09-30 01:24:00 GMT,+36004.5,+11783.2,+13632.2,+4440.66,+12511.3,+4112.81,+9861.06,+3229.76
2019-09-30 01:25:00 GMT,+36004.5,+11783.2,+13632.2,+4440.66,+12511.3,+4112.81,+9861.06,+3229.76
2019-09-30 01:26:00 GMT,+36004.5,+11783.2,+13632.2,+4440.66,+12511.3,+4112.81,+9861.06,+3229.76
2019-09-30 01:27:00 GMT,+36004.5,+11783.2,+13632.2,+4440.66,+12511.3,+4112.81,+9861.06,+3229.76
2019-09-30 01:28:00 GMT,+36004.5,+11783.2,+13632.2,+4440.66,+12511.3,+4112.81,+9861.06,+3229.76
2019-09-30 01:29:00 GMT,+36004.5,+11783.2,+13632.2,+4440.66,+12511.3,+4112.81,+9861.06,+3229.76
2019-09-30 01:30:00 GMT,+36004.5,+11783.2,+13632.2,+4440.66,+12511.3,+4112.81,+9861.06,+3229.76
2019-09-30 01:31:00 GMT,+36004.5,+11783.2,+13632.2,+4440.66,+12511.3,+4112.81,+9861.06,+3229.76
2019-09-30 01:32:00 GMT,+36004.5,+11783.2,+13632.2,+4440.66,+12511.3,+4112.81,+9861.06,+3229.76
2019-09-30 01:33:00 GMT,+36004.5,+11783.2,+13632.2,+4440.66,+12511.3,+4112.81,+9861.06,+3229.76
2019-09-30 01:34:00 GMT,+36004.5,+11783.2,+13632.2,+4440.66,+12511.3,+4112.81,+9861.06,+3229.76
2019-09-30 01:35:00 GMT,+36004.5,+11783.2,+13632.2,+4440.66,+12511.3,+4112.81,+9861.06,+3229.76
2019-09-30 01:36:00 GMT,+36004.5,+11783.2,+13632.2,+4440.66,+12511.3,+4112.81,+9861.06,+3229.76
2019-09-30 01:37:00 GMT,+36004.5,+11783.2,+13632.2,+4440.66,+12511.3,+4112.81,+9861.06,+3229.76
2019-09-30 01:38:00 GMT,+36004.5,+11783.2,+13632.2,+4440.66,+12511.3,+4112.81,+9861.06,+3229.76
2019-09-30 01:39:00 GMT,+36004.5,+11783.2,+13632.2,+4440.66,+12511.3,+4112.81,+9861.06,+3229.76
2019-09-30 01:40:00 GMT,+35974.4,+11773.3,+13602,+4430.78,+12511.3,+4112.76,+9861.08,+3229.79
2019-09-30 01:41:00 GMT,+35974.4,+11773.3,+13602,+4430.78,+12511.3,+4112.76,+9861.08,+3229.79
2019-09-30 01:42:00 GMT,+35974.4,+11773.3,+13602,+4430.78,+12511.3,+4112.76,+9861.08,+3229.79
2019-09-30 01:43:00 GMT,+35974.4,+11773.3,+13602,+4430.78,+12511.3,+4112.76,+9861.08,+3229.79
2019-09-30 01:44:00 GMT,+35974.4,+11773.3,+13602,+4430.78,+12511.3,+4112.76,+9861.08,+3229.79
2019-09-30 01:45:00 GMT,+35974.4,+11773.3,+13602,+4430.78,+12511.3,+4112.76,+9861.08,+3229.79
2019-09-30 01:46:00 GMT,+35974.4,+11773.3,+13602,+4430.78,+12511.3,+4112.76,+9861.08,+3229.79
2019-09-30 01:47:00 GMT,+35974.4,+11773.3,+13602,+4430.78,+12511.3,+4112.76,+9861.08,+3229.79
2019-09-30 01:48:00 GMT,+35974.4,+11773.3,+13602,+4430.78,+12511.3,+4112.76,+9861.08,+3229.79
2019-09-30 01:49:00 GMT,+35974.4,+11773.3,+13602,+4430.78,+12511.3,+4112.76,+9861.08,+3229.79
2019-09-30 01:50:00 GMT,+35974.4,+11773.3,+13602,+4430.78,+12511.3,+4112.76,+9861.08,+3229.79
2019-09-30 01:51:00 GMT,+35974.4,+11773.3,+13602,+4430.78,+12511.3,+4112.76,+9861.08,+3229.79
2019-09-30 01:52:00 GMT,+35974.4,+11773.3,+13602,+4430.78,+12511.3,+4112.76,+9861.08,+3229.79
2019-09-30 01:53:00 GMT,+35974.4,+11773.3,+13602,+4430.78,+12511.3,+4112.76,+9861.08,+3229.79
2019-09-30 01:54:00 GMT,+35974.4,+11773.3,+13602,+4430.78,+12511.3,+4112.76,+9861.08,+3229.79
2019-09-30 01:55:00 GMT,+35974.4,+11773.3,+13602,+4430.78,+12511.3,+4112.76,+9861.08,+3229.79
2019-09-30 01:56:00 GMT,+35974.4,+11773.3,+13602,+4430.78,+12511.3,+4112.76,+9861.08,+3229.79
2019-09-30 01:57:00 GMT,+35974.4,+11773.3,+13602,+4430.78,+12511.3,+4112.76,+9861.08,+3229.79
2019-09-30 01:58:00 GMT,+35974.4,+11773.3,+13602,+4430.78,+12511.3,+4112.76,+9861.08,+3229.79
2019-09-30 01:59:00 GMT,+35974.4,+11773.3,+13602,+4430.78,+12511.3,+4112.76,+9861.08,+3229.79
2019-09-30 02:00:00 GMT,+35904,+11750.3,+13531.5,+4407.74,+12511.3,+4112.66,+9861.13,+3229.87
2019-09-30 02:01:00 GMT,+35904,+11750.3,+13531.5,+4407.74,+12511.3,+4112.66,+9861.13,+3229.87
2019-09-30 02:02:00 GMT,+35904,+11750.3,+13531.5,+4407.74,+12511.3,+4112.66,+9861.13,+3229.87
2019-09-30 02:03:00 GMT,+35904,+11750.3,+13531.5,+4407.74,+12511.3,+4112.66,+9861.13,+3229.87
2019-09-30 02:04:00 GMT,+35904,+11750.3,+13531.5,+4407.74,+12511.3,+4112.66,+9861.13,+3229.87
2019-09-30 02:05:00 GMT,+35904,+11750.3,+13531.5,+4407.74,+12511.3,+4112.66,+9861.13,+3229.87
2019-09-30 02:06:00 GMT,+35904,+11750.3,+13531.5,+4407.74,+12511.3,+4112.66,+9861.13,+3229.87
2019-09-30 02:07:00 GMT,+35904,+11750.3,+13531.5,+4407.74,+12511.3,+4112.66,+9861.13,+3229.87
2019-09-30 02:08:00 GMT,+35904,+11750.3,+13531.5,+4407.74,+12511.3,+4112.66,+9861.13,+3229.87
2019-09-30 02:09:00 GMT,+35904,+11750.3,+13531.5,+4407.74,+12511.3,+4112.66,+9861.13,+3229.87
2019-09-30 02:10:00 GMT,+35904,+11750.3,+13531.5,+4407.74,+12511.3,+4112.66,+9861.13,+3229.87
2019-09-30 02:11:00 GMT,+35904,+11750.3,+13531.5,+4407.74,+12511.3,+4112.66,+9861.13,+3229.87
2019-09-30 02:12:00 GMT,+35904,+11750.3,+13531.5,+4407.74,+12511.3,+4112.66,+9861.13,+3229.87
2019-09-30 02:13:00 GMT,+35904,+11750.3,+13531.5,+4407.74,+12511.3,+4112.66,+9861.13,+3229.87
2019-09-30 02:14:00 GMT,+35904,+11750.3,+13531.5,+4407.74,+12511.3,+4112.66,+9861.13,+3229.87
2019-09-30 02:15:00 GMT,+35904,+11750.3,+13531.5,+4407.74,+12511.3,+4112.66,+9861.13,+3229.87
2019-09-30 02:16:00 GMT,+35904,+11750.3,+13531.5,+4407.74,+12511.3,+4112.66,+9861.13,+3229.87
2019-09-30 02:17:00 GMT,+35904,+11750.3,+13531.5,+4407.74,+12511.3,+4112.66,+9861.13,+3229.87
2019-09-30 02:18:00 GMT,+35904,+11750.3,+13531.5,+4407.74,+12511.3,+4112.66,+9861.13,+3229.87
2019-09-30 02:19:00 GMT,+35904,+11750.3,+13531.5,+4407.74,+12511.3,+4112.66,+9861.13,+3229.87
2019-09-30 02:20:00 GMT,+35883.9,+11743.7,+13511.3,+4401.16,+12511.4,+4112.63,+9861.15,+3229.9
2019-09-30 02:21:00 GMT,+35883.9,+11743.7,+13511.3,+4401.16,+12511.4,+4112.63,+9861.15,+3229.9
2019-09-30 02:22:00 GMT,+35883.9,+11743.7,+13511.3,+4401.16,+12511.4,+4112.63,+9861.15,+3229.9
2019-09-30 02:23:00 GMT,+35883.9,+11743.7,+13511.3,+4401.16,+12511.4,+4112.63,+9861.15,+3229.9
2019-09-30 02:24:00 GMT,+35883.9,+11743.7,+13511.3,+4401.16,+12511.4,+4112.63,+9861.15,+3229.9
2019-09-30 02:25:00 GMT,+35883.9,+11743.7,+13511.3,+4401.16,+12511.4,+4112.63,+9861.15,+3229.9
2019-09-30 02:26:00 GMT,+35883.9,+11743.7,+13511.3,+4401.16,+12511.4,+4112.63,+9861.15,+3229.9
2019-09-30 02:27:00 GMT,+35883.9,+11743.7,+13511.3,+4401.16,+12511.4,+4112.63,+9861.15,+3229.9
2019-09-30 02:28:00 GMT,+35883.9,+11743.7,+13511.3,+4401.16,+12511.4,+4112.63,+9861.15,+3229.9
2019-09-30 02:29:00 GMT,+35883.9,+11743.7,+13511.3,+4401.16,+12511.4,+4112.63,+9861.15,+3229.9
2019-09-30 02:30:00 GMT,+35883.9,+11743.7,+13511.3,+4401.16,+12511.4,+4112.63,+9861.15,+3229.9
2019-09-30 02:31:00 GMT,+35883.9,+11743.7,+13511.3,+4401.16,+12511.4,+4112.63,+9861.15,+3229.9
2019-09-30 02:32:00 GMT,+35883.9,+11743.7,+13511.3,+4401.16,+12511.4,+4112.63,+9861.15,+3229.9
2019-09-30 02:33:00 GMT,+35883.9,+11743.7,+13511.3,+4401.16,+12511.4,+4112.63,+9861.15,+3229.9
2019-09-30 02:34:00 GMT,+35883.9,+11743.7,+13511.3,+4401.16,+12511.4,+4112.63,+9861.15,+3229.9
2019-09-30 02:35:00 GMT,+35883.9,+11743.7,+13511.3,+4401.16,+12511.4,+4112.63,+9861.15,+3229.9
2019-09-30 02:36:00 GMT,+35883.9,+11743.7,+13511.3,+4401.16,+12511.4,+4112.63,+9861.15,+3229.9
2019-09-30 02:37:00 GMT,+35883.9,+11743.7,+13511.3,+4401.16,+12511.4,+4112.63,+9861.15,+3229.9
2019-09-30 02:38:00 GMT,+35883.9,+11743.7,+13511.3,+4401.16,+12511.4,+4112.63,+9861.15,+3229.9
2019-09-30 02:39:00 GMT,+35883.9,+11743.7,+13511.3,+4401.16,+12511.4,+4112.63,+9861.15,+3229.9
2019-09-30 02:40:00 GMT,+35868.8,+11738.7,+13496.2,+4396.22,+12511.4,+4112.61,+9861.16,+3229.91
