#Feni weather file
$city_name=Feni
$timezone=GMT
solar_diff,solar_dir,solar_global,temperature,wind_speed
04:20:23:23:00,0,0,0,34.6,0.0916842
04:20:23:24:00,0,0.0428448,0,34.6,0
04:20:23:25:00,0,0.185661,0,34.6,0.0262703
04:20:23:26:00,0,0,0,34.5617,0.152531
04:20:23:27:00,0,0.0428448,0,34.535,0.364158
04:20:23:28:00,0,0,0,34.505,0.51472
04:20:23:29:00,0,0,0,34.5,0.512375
04:20:23:30:00,0,0,0,34.5,0.467284
04:20:23:31:00,0,0,0,34.5,0.436738
04:20:23:32:00,0,0,0,34.5,0.452808
04:20:23:33:00,0,0,0,34.4967,0.40364
04:20:23:34:00,0,0,0,34.4917,0.360679
04:20:23:35:00,0,0,0,34.4017,0.176211
04:20:23:36:00,0,0,0,34.4,0
04:20:23:37:00,0,0.128535,0,34.4,0
04:20:23:38:00,0,0,0,34.4,0.0578655
04:20:23:39:00,0,0,0,34.4,0.284242
04:20:23:40:00,0,0.328478,0,34.4,0.44975
04:20:23:41:00,0,0.25707,0,34.3717,0.649993
04:20:23:42:00,0,0.0285631,0,34.3167,0.665542
04:20:23:43:00,0,0,0,34.3083,0.580578
04:20:23:44:00,0,0.314196,0,34.3,0.39308
04:20:23:45:00,0,0.142816,0,34.3,0.407816
04:20:23:46:00,0,0.299915,0,34.3,0.356909
04:20:23:47:00,0,0.128535,0,34.2983,0.318186
04:20:23:48:00,0,0,0,34.3,0.195202
04:20:23:49:00,0,0.142816,0,34.3,0.255616
04:20:23:50:00,0,0,0,34.2283,0.412353
04:20:23:51:00,0,0,0,34.2,0.389394
04:20:23:52:00,0,0.0142815,0,34.2,0.406674
04:20:23:53:00,0,0,0,34.2,0.516804
04:20:23:54:00,0,0,0,34.2,0.409571
04:20:23:55:00,0,0,0,34.2,0.387401
04:20:23:56:00,0,0,0,34.2,0.376312
04:20:23:57:00,0,0.0714082,0,34.2,0.243626
04:20:23:58:00,0,0.0714082,0,34.2,0
04:20:23:59:00,0,0.214225,0,34.1317,0.046153
04:21:00:00:00,0,0,0,34.1,0.417587
04:21:00:01:00,0,0.442731,0,34.1,0.452432
04:21:00:02:00,0,0.217855,0,34.1085,0.371399
04:21:00:03:00,0,0,0,34.1262,0.356657
04:21:00:04:00,0,0,0,34.1017,0.324539
04:21:00:05:00,0,0,0,34.1,0.143161
04:21:00:06:00,0,0,0,34.1,0.0187014
04:21:00:07:00,0,0,0,34.1,0.0217962
04:21:00:08:00,0,0.214224,0,34.045,0
04:21:00:09:00,0,0,0,34.0133,0.0746381
04:21:00:10:00,0,0.17138,0,34,0.195783
04:21:00:11:00,0,0,0,34,0.271458
04:21:00:12:00,0,0,0,34,0.401954
04:21:00:13:00,0,0,0,34,0.445045
04:21:00:14:00,0,0,0,33.9983,0.416077
04:21:00:15:00,0,0,0,33.99,0.364787
04:21:00:16:00,0,0,0,33.965,0.268389
04:21:00:17:00,0,0.114253,0,33.9083,0.175378
04:21:00:18:00,0,0.071408,0,33.9,0
04:21:00:19:00,0,0,0,33.9,0
04:21:00:20:00,0,0,0,33.9,0.331581
04:21:00:21:00,0,0.157098,0,33.9,0.492826
04:21:00:22:00,0,0.0856897,0,33.9,0.607254
04:21:00:23:00,0,0.0285633,0,33.8867,0.594395
04:21:00:24:00,0,3.70074E-18,0,33.865,0.631524
04:21:00:25:00,0,0.214224,0,33.855,0.65397
04:21:00:26:00,0,0.542703,0,33.8033,0.587299
04:21:00:27:00,0,0.271351,0,33.8,0.573865
04:21:00:28:00,0,0,0,33.8,0.541925
04:21:00:29:00,0,0.228506,0,33.8,0.538951
04:21:00:30:00,0,0,0,33.8,0.321381
04:21:00:31:00,0,0.0571265,0,33.8,0.0524333
04:21:00:32:00,0,0,0,33.8,0.331504
04:21:00:33:00,0,0.0285634,0,33.7967,0.281688
04:21:00:34:00,0,0.528421,0,33.785,0.360212
04:21:00:35:00,0,0,0,33.71,0.600089
04:21:00:36:00,0,0.199943,0,33.7,0.70979
04:21:00:37:00,0,0,0.400333,33.7,0.746398
04:21:00:38:00,0.112833,0.0999713,0.628,33.7,1.30834
04:21:00:39:00,0.314833,0.157098,1.08917,33.7,1.83031
04:21:00:40:00,1.006,0,1.71133,33.7,1.59878
04:21:00:41:00,1.32433,0.142817,2.00333,33.7,2.37417
04:21:00:42:00,1.95917,0,2.2955,33.7,2.57386
04:21:00:43:00,1.918,0.142816,2.02267,33.6833,1.92241
04:21:00:44:00,0.7365,0,0.769833,33.6067,0.808992
04:21:00:45:00,0,0,0,33.6,0.473575
04:21:00:46:00,0,0,0,33.6,0.659894
04:21:00:47:00,0,0.099972,0,33.5483,0.779748
04:21:00:48:00,0,0,0,33.505,0.530844
04:21:00:49:00,0,0.285632,0,33.5,0.230517
04:21:00:50:00,0,0,0,33.5,0.605201
04:21:00:51:00,0,0,0,33.5,0.903787
04:21:00:52:00,0,0.328478,0,33.5,1.11988
04:21:00:53:00,0.0838333,0.228506,0.365333,33.4283,1.6988
04:21:00:54:00,0.6295,0,0.898167,33.4,1.80471
04:21:00:55:00,0.7365,0.371323,0.907,33.4,1.82337
04:21:00:56:00,0.342333,0,0.467667,33.4,1.45825
04:21:00:57:00,0,0,0,33.3983,1.274
04:21:00:58:00,0,0,0,33.38,1.87827
04:21:00:59:00,0.23,0.0571264,0.458167,33.305,1.74747
04:21:01:00:00,0.228,0,0.432833,33.3,1.74118
04:21:01:01:00,0.113667,0.25707,0.3125,33.3,1.65966
04:21:01:02:00,0,0,0.0186667,33.3,1.56907
04:21:01:03:00,0,0,0,33.3,1.40944
04:21:01:04:00,0,0,0,33.2967,1.01589
04:21:01:05:00,0,0.285633,0,33.2167,0.845615
04:21:01:06:00,0,0.357041,0,33.2,0.758759
04:21:01:07:00,0,0,0,33.2,1.12774
04:21:01:08:00,0,0,0,33.1983,0.988045
04:21:01:09:00,0,0.314197,0,33.135,1.58202
04:21:01:10:00,0,0.0856901,0,33.1,1.70373
04:21:01:11:00,0,0.214225,0,33.1,1.26196
04:21:01:12:00,0,0,0,33.1,1.76545
04:21:01:13:00,0,0.0428448,0,33.1,1.62739
04:21:01:14:00,0,0.142816,0,33.0367,1.95638
04:21:01:15:00,0,0.0142816,0,33,1.73194
04:21:01:16:00,0,0,0,33,1.42595
04:21:01:17:00,0,0,0,33,1.11779
04:21:01:18:00,0,0,0,33,0.803482
04:21:01:19:00,0,0,0,33,0.625371
04:21:01:20:00,0,0,0,32.9267,0.979715
04:21:01:21:00,0,0,0,32.9,0.788761
04:21:01:22:00,0,0.0856899,0,32.9,0.686424
04:21:01:23:00,0,0,0,32.9,0.505394
04:21:01:24:00,0,0,0,32.9,0.504098
04:21:01:25:00,0,0.142816,0,32.9,0.734167
04:21:01:26:00,0,0.185661,0,32.8883,0.602503
04:21:01:27:00,0,0,0,32.8667,0.533188
04:21:01:28:00,0,0,0,32.8533,0.685896
04:21:01:29:00,0,0,0,32.805,0.537365
04:21:01:30:00,0,0.214225,0,32.8,0.590081
04:21:01:31:00,0,0.042845,0,32.8,0.62252
04:21:01:32:00,0,0,0,32.8,0.745892
04:21:01:33:00,0,0,0,32.8,0.925697
04:21:01:34:00,0,0.000000133333,0,32.8,1.04079
04:21:01:35:00,0,0.185661,0,32.8,1.01205
04:21:01:36:00,0,0,0,32.8,0.871961
04:21:01:37:00,0,0,0,32.8,0.802432
04:21:01:38:00,0,0,0,32.7733,0.776346
04:21:01:39:00,0,0.114253,0,32.7367,0.884391
04:21:01:40:00,0,0,0,32.7567,0.749976
04:21:01:41:00,0,0,0,32.715,0.739868
04:21:01:42:00,0,0,0,32.7017,0.768468
04:21:01:43:00,0,0.0856898,0,32.7017,0.831836
04:21:01:44:00,0,0.185661,0,32.7,0.540737
04:21:01:45:00,0,0,0,32.7,0.630214
04:21:01:46:00,0,0.142816,0,32.7,0.597752
04:21:01:47:00,0,0,0,32.7,0.424622
04:21:01:48:00,0,0.328478,0,32.7,0.478495
04:21:01:49:00,0,0.042845,0,32.7,0.56411
04:21:01:50:00,0,0,0,32.7,0.730113
04:21:01:51:00,0,0.157098,0,32.7,0.856052
04:21:01:52:00,0,0.0999717,0,32.7,1.00208
04:21:01:53:00,0,0,0,32.7,0.86157
04:21:01:54:00,0,0,0,32.7,0.531587
04:21:01:55:00,0,0.114253,0,32.7,0.340616
04:21:01:56:00,0,0.25707,0,32.675,0.239106
04:21:01:57:00,0,0.17138,0,32.69,0.272322
04:21:01:58:00,0,0.114253,0,32.7,0.43181
04:21:01:59:00,0,0,0,32.62,0.380519
04:21:02:00:00,0,0.142816,0,32.605,0.36061
04:21:02:01:00,0,0,0,32.62,0.435826
04:21:02:02:00,0,0.357041,0,32.6933,0.485277
04:21:02:03:00,0,0,0,32.7,0.50088
04:21:02:04:00,0,0,0,32.7,0.504474
04:21:02:05:00,0,0.0142817,0,32.6933,0.564401
04:21:02:06:00,0,0,0,32.6817,0.609224
04:21:02:07:00,0,0,0,32.685,0.66968
04:21:02:08:00,0,0.0571266,0,32.6117,0.922961
04:21:02:09:00,0,0,0,32.6,0.779063
04:21:02:10:00,0,0,0,32.6,0.847286
04:21:02:11:00,0,0,0,32.6,1.12038
04:21:02:12:00,0,0,0,32.6,1.19104
04:21:02:13:00,0,0.128535,0,32.6,1.17186
04:21:02:14:00,0,0.142816,0,32.6,0.954197
04:21:02:15:00,0,0,0,32.6,0.661756
04:21:02:16:00,0,0,0,32.6,0.733914
04:21:02:17:00,0,0,0,32.5517,0.64269
04:21:02:18:00,0,0,0,32.5383,0.666653
04:21:02:19:00,0,0.0714083,0,32.5883,0.595782
04:21:02:20:00,0,0.028563,0,32.515,0.723009
04:21:02:21:00,0,0.0714082,0,32.5,0.599921
04:21:02:22:00,0,0,0,32.5169,0.472672
04:21:02:23:00,0,0,0,32.5,0.103734
04:21:02:24:00,0,0,0,32.5,0
04:21:02:25:00,0,0,0,32.5,0.283605
04:21:02:26:00,0,0,0,32.5,0.357606
04:21:02:27:00,0,0.0999716,0,32.5,0.435366
04:21:02:28:00,0,0,0,32.5,0.0579203
04:21:02:29:00,0,0.0714085,0,32.5,0.128009
04:21:02:30:00,0,0,0,32.5,0.267868
04:21:02:31:00,0,0,0,32.5,0.292409
04:21:02:32:00,0,0.0428447,0,32.5,0.301066
04:21:02:33:00,0,0,0,32.5,0.436692
04:21:02:34:00,0,0,0,32.5,0.23578
04:21:02:35:00,0,0,0,32.5,0.168476
04:21:02:36:00,0,0,0,32.5,0.28201
04:21:02:37:00,0,0,0,32.5,0
04:21:02:38:00,0,0,0,32.5,0.208039
04:21:02:39:00,0,0,0,32.5,0.116463
04:21:02:40:00,0,0,0,32.5,0.0653743
04:21:02:41:00,0,0,0,32.5,0.091014
04:21:02:42:00,0,0.0142816,0,32.5,0.289916
04:21:02:43:00,0,0.0999714,0,32.5,0.257078
04:21:02:44:00,0,0,0,32.4817,0.331374
04:21:02:45:00,0,0.0142816,0,32.4867,0.302211
04:21:02:46:00,0,0.0856899,0,32.5,0.432975
04:21:02:47:00,0,0,0,32.44,0.280935
04:21:02:48:00,0,0,0,32.4367,0
04:21:02:49:00,0,0,0,32.4833,0
04:21:02:50:00,0,0.0999716,0,32.4183,0.00412933
04:21:02:51:00,0,0.0142815,0,32.4017,0
04:21:02:52:00,0,0,0,32.4217,0
04:21:02:53:00,0,0,0,32.4033,0.0873262
04:21:02:54:00,0,0.128535,0,32.4,0.340593
04:21:02:55:00,0,0,0,32.4067,0.360104
04:21:02:56:00,0,0,0,32.4,0.347186
04:21:02:57:00,0,0,0,32.4,0.417679
04:21:02:58:00,0,0.0856898,0,32.4,0.341482
04:21:02:59:00,0,0,0,32.4,0.174151
04:21:03:00:00,0,0,0,32.4,0.022164
04:21:03:01:00,0,0,0,32.4,0
04:21:03:02:00,0,0.17138,0,32.4,0.0606727
04:21:03:03:00,0,0,0,32.4,0.444669
04:21:03:04:00,0,0,0,32.4,0.436155
04:21:03:05:00,0,0,0,32.4,0.484909
04:21:03:06:00,0,0.042845,0,32.4,0.343176
04:21:03:07:00,0,0,0,32.4,0.362886
04:21:03:08:00,0,0,0,32.4,0.450332
04:21:03:09:00,0,0,0,32.4,0.388849
04:21:03:10:00,0,0,0,32.4,0.30722
04:21:03:11:00,0,0,0,32.4,0.0309361
04:21:03:12:00,0,0.0428449,0,32.4,0.0357398
04:21:03:13:00,0,0,0,32.4,0
04:21:03:14:00,0,0,0,32.4,0.162648
04:21:03:15:00,0,0.157098,0,32.4,0.441558
04:21:03:16:00,0,0.0000000666667,0,32.4,0.425043
04:21:03:17:00,0,0,0,32.39,0.453819
04:21:03:18:00,0,0,0,32.3917,0.378151
04:21:03:19:00,0,0.142816,0,32.4,0.112744
04:21:03:20:00,0,0.142816,0,32.335,0
04:21:03:21:00,0,0,0,32.335,0
04:21:03:22:00,0,0.142816,0,32.3783,0
04:21:03:23:00,0,0,0,32.33,0
04:21:03:24:00,0,0,0,32.305,0
04:21:03:25:00,0,0,0,32.3283,0.403693
04:21:03:26:00,0,0.0428451,0,32.3067,0.56296
04:21:03:27:00,0,0.157098,0,32.3,0.418913
04:21:03:28:00,0,0,0,32.3017,0.4182
04:21:03:29:00,0,0.285633,0,32.3017,0.504888
04:21:03:30:00,0,0,0,32.3,0.59897
04:21:03:31:00,0,0,0,32.3,0.639233
04:21:03:32:00,0,0,0,32.3,0.773127
04:21:03:33:00,0,0,0,32.3,0.768108
04:21:03:34:00,0,0,0.0675,32.3,0.838235
04:21:03:35:00,0,0.228506,0.0446667,32.3,0.822648
04:21:03:36:00,0,0.042845,0,32.3,0.624443
04:21:03:37:00,0,0,0,32.3,0.496519
04:21:03:38:00,0,0,0,32.2667,0.516268
04:21:03:39:00,0,0,0,32.2533,0.337704
04:21:03:40:00,0,0.314196,0,32.285,0.191751
04:21:03:41:00,0,0,0,32.215,0.12115
04:21:03:42:00,0,0,0,32.2117,0.344785
04:21:03:43:00,0,0,0,32.23,0.175563
04:21:03:44:00,0,0,0,32.2,0.095151
04:21:03:45:00,0,0,0,32.2,0.24822
04:21:03:46:00,0,0,0,32.2,0.20685
04:21:03:47:00,0,0.0714081,0,32.2,0.332925
04:21:03:48:00,0,0,0,32.2,0.563045
04:21:03:49:00,0,0,0,32.2,0.643908
04:21:03:50:00,0,0,0,32.2,0.699368
04:21:03:51:00,0,0.0714081,0.106833,32.2,0.932364
04:21:03:52:00,0,0,0.430833,32.2,1.11779
04:21:03:53:00,0,0,0.497667,32.2,1.11113
04:21:03:54:00,0,0.385604,0.292167,32.2,1.05118
04:21:03:55:00,0,0.628392,0,32.2,0.700647
04:21:03:56:00,0,0,0,32.19,0.488258
04:21:03:57:00,0,0,0,32.1583,0.482327
04:21:03:58:00,0,0,0,32.1883,0.428093
04:21:03:59:00,0,0.199943,0,32.1117,0.394888
04:21:04:00:00,0,0.199943,0,32.1,0.437037
04:21:04:01:00,0,0.257069,0,32.1,0.400322
04:21:04:02:00,0,0.114253,0,32.1033,0.362595
04:21:04:03:00,0,0,0,32.1033,0.315389
04:21:04:04:00,0,0,0,32.1033,0.393026
04:21:04:05:00,0,0,0,32.1,0.541151
04:21:04:06:00,0,0,0,32.1,0.702418
04:21:04:07:00,0,0,0,32.1,0.605323
04:21:04:08:00,0,0.185661,0,32.1,0.694233
04:21:04:09:00,0,0,0.0291667,32.1,0.709384
04:21:04:10:00,0,0,0,32.0867,0.868827
04:21:04:11:00,0,0.271351,0,32.0183,0.769526
04:21:04:12:00,0,0,0,32,0.632344
04:21:04:13:00,0,0,0,32,0.74544
04:21:04:14:00,0,0.0428446,0,32,0.901848
04:21:04:15:00,0,0,0.00566667,32,0.760314
04:21:04:16:00,0,0,0,32,0.84822
04:21:04:17:00,0,0.0142814,0,31.99,0.66017
04:21:04:18:00,0,0,0,31.98,0.624673
04:21:04:19:00,0,0,0,31.9667,0.644253
04:21:04:20:00,0,0,0,31.9033,0.39498
04:21:04:21:00,0,0,0,31.9,0.535204
04:21:04:22:00,0,0.199943,0,31.9,0.636
04:21:04:23:00,0,0.0856899,0,31.9,0.641149
04:21:04:24:00,0,0.428449,0,31.9,0.663304
04:21:04:25:00,0,0,0,31.9,0.499746
04:21:04:26:00,0,0.0285635,0,31.8617,0.392175
04:21:04:27:00,0,0,0,31.8367,0.491576
04:21:04:28:00,0,0,0,31.8367,0.550921
04:21:04:29:00,0,0,0,31.8017,0.551358
04:21:04:30:00,0,0.0285633,0,31.8,0.603262
04:21:04:31:00,0,0.142817,0,31.8,0.514681
04:21:04:32:00,0,0.157098,0,31.8,0.62255
04:21:04:33:00,0,0.142816,0,31.8,0.682677
04:21:04:34:00,0,0,0,31.8,0.625531
04:21:04:35:00,0,0,0,31.8,0.615439
04:21:04:36:00,0,0,0,31.8,0.450331
04:21:04:37:00,0,0.0999714,0,31.8,0.542139
04:21:04:38:00,0,0.0856899,0,31.8,0.595629
04:21:04:39:00,0,0,0,31.8,0.478258
04:21:04:40:00,0,0,0,31.8,0.294976
04:21:04:41:00,0,0,0,31.7583,0.298499
04:21:04:42:00,0,0.0999716,0,31.7417,0.352219
04:21:04:43:00,0,0.0999714,0,31.7783,0.415035
04:21:04:44:00,0,0,0,31.7083,0.493661
04:21:04:45:00,0,0,0,31.7,0.389838
04:21:04:46:00,0,0,0,31.7,0.591307
04:21:04:47:00,0,0,0,31.7,0.527885
04:21:04:48:00,0,0,0,31.7,0.583682
04:21:04:49:00,0,0,0,31.7,0.482817
04:21:04:50:00,0,0,0,31.7,0.433941
04:21:04:51:00,0,0,0,31.7,0.330018
04:21:04:52:00,0,0,0,31.7,0.326287
04:21:04:53:00,0,0.0428448,0,31.7,0.642199
04:21:04:54:00,0,0.142816,0,31.7,0.543381
04:21:04:55:00,0,0,0,31.7,0.430239
04:21:04:56:00,0,0,0,31.6967,0.275927
04:21:04:57:00,0,0,0,31.7,0.155219
04:21:04:58:00,0,0.114254,0,31.7,0.22205
04:21:04:59:00,0,0.157098,0,31.655,0.455018
04:21:05:00:00,0,0.0142818,0,31.6783,0.415204
04:21:05:01:00,0,0,0,31.6933,0.425442
04:21:05:02:00,0,0.385605,0,31.7,0.444048
04:21:05:03:00,0,0,0,31.7,0.397486
04:21:05:04:00,0,0,0,31.7,0.414
04:21:05:05:00,0,0,0,31.695,0.404061
04:21:05:06:00,0,0,0,31.6933,0.538055
04:21:05:07:00,0,0.000000333333,0,31.6967,0.489507
04:21:05:08:00,0,0,0,31.6233,0.494121
04:21:05:09:00,0,0.228506,0,31.615,0.513708
04:21:05:10:00,0,0,0,31.6267,0.568003
04:21:05:11:00,0,0,0,31.61,0.531012
04:21:05:12:00,0,0.199943,0,31.6,0.498389
04:21:05:13:00,0,0,0,31.6,0.318561
04:21:05:14:00,0,0,0,31.6,0.398114
04:21:05:15:00,0,0.0428451,0,31.6,0.324317
04:21:05:16:00,0,0.157098,0,31.6,0.195036
04:21:05:17:00,0,0,0,31.6,0.10045
04:21:05:18:00,0,0.114253,0,31.6,0
04:21:05:19:00,0,0,0,31.6,0.0171151
04:21:05:20:00,0,0,0,31.6,0.136743
04:21:05:21:00,0,0,0,31.6,0.174956
04:21:05:22:00,0,0,0,31.6,0.166093
04:21:05:23:00,0,0,0,31.6,0.390497
04:21:05:24:00,0.181333,0,0.181333,31.6,0.483844
04:21:05:25:00,0.494833,0,0.494833,31.6,0.482043
04:21:05:26:00,0.7965,0,0.7965,31.54,0.464172
04:21:05:27:00,1.16333,0,1.16333,31.535,0.496136
04:21:05:28:00,1.6205,0,1.6205,31.55,0.568562
04:21:05:29:00,2.09367,0,2.09367,31.5067,0.551833
04:21:05:30:00,2.51183,0,2.51183,31.5,0.563719
04:21:05:31:00,3.01733,0,3.01733,31.5017,0.561619
04:21:05:32:00,3.60833,0,3.60833,31.5017,0.581031
04:21:05:33:00,4.191,0,4.191,31.5,0.488672
04:21:05:34:00,4.88517,0.0142816,4.92483,31.5,0.610228
04:21:05:35:00,5.91483,0.228506,5.91983,31.5,0.419894
04:21:05:36:00,6.75717,0.285633,6.79767,31.5,0.36107
04:21:05:37:00,7.58966,0.217856,7.66492,31.5,0.121028
04:21:05:38:00,8.38902,0.393331,8.50246,31.5,0.190909
04:21:05:39:00,9.34833,0.87118,9.48883,31.5,0.0374169
04:21:05:40:00,10.573,1.014,10.7452,31.5,0.359698
04:21:05:41:00,11.6812,1.5567,11.8868,31.5,0.270348
04:21:05:42:00,12.7158,2.14225,13.0112,31.5,0
04:21:05:43:00,13.8943,2.7992,14.2882,31.5,0
04:21:05:44:00,15.1643,4.12739,15.6978,31.5,0.176866
04:21:05:45:00,16.4928,5.2128,17.1482,31.5,0.207323
04:21:05:46:00,17.8037,6.09826,18.5867,31.5,0.0229533
04:21:05:47:00,19.2752,7.24079,20.193,31.5,0.0675584
04:21:05:48:00,20.7038,8.79749,21.7927,31.5,0.045899
04:21:05:49:00,21.9937,10.7827,23.3628,31.5,0.0858754
04:21:05:50:00,23.3402,12.8392,25.0583,31.5,0
04:21:05:51:00,24.7567,14.8672,26.7747,31.5,0
04:21:05:52:00,26.1498,17.1951,28.4563,31.5,0
04:21:05:53:00,27.5522,19.3374,30.2097,31.5,0
04:21:05:54:00,29.0975,21.5224,32.122,31.5,0
04:21:05:55:00,30.6352,24.0502,34.0362,31.5,0
04:21:05:56:00,32.2145,27.2208,36.0688,31.5,0.124089
04:21:05:57:00,33.8623,29.8629,38.2212,31.5,0.400237
04:21:05:58:00,35.573,31.6909,40.4923,31.535,0.463015
04:21:05:59:00,37.0585,34.6329,42.4907,31.5083,0.391677
04:21:06:00:00,38.4465,39.0174,44.421,31.54,0.144458
04:21:06:01:00,40.0307,43.3019,46.6028,31.5933,0.260361
04:21:06:02:00,41.8552,47.3579,49.0468,31.6,0.377255
04:21:06:03:00,43.4795,50.9712,51.568,31.6,0.331812
04:21:06:04:00,44.9338,55.5699,53.7143,31.6133,0.206668
04:21:06:05:00,46.2935,60.2257,55.829,31.6083,0.0656732
04:21:06:06:00,47.6657,64.2103,58.068,31.615,0.056495
04:21:06:07:00,49.1655,67.6092,60.4702,31.6817,0.038689
04:21:06:08:00,50.7672,75.5213,63.1233,31.6867,0.339697
04:21:06:09:00,52.2957,83.519,65.7393,31.6967,0.271996
04:21:06:10:00,53.8065,90.8883,68.4043,31.7,0.418461
04:21:06:11:00,55.2122,97.3294,70.9038,31.7,0.211459
04:21:06:12:00,56.667,102.799,73.3487,31.775,0.371065
04:21:06:13:00,58.3432,107.455,76.0275,31.8667,0.251422
04:21:06:14:00,59.9705,113.482,78.941,31.9333,0.203635
04:21:06:15:00,61.4613,118.58,81.7873,32.0333,0.0305452
04:21:06:16:00,63.051,123.136,84.6402,32.1133,0
04:21:06:17:00,64.6588,126.864,87.6342,32.1983,0.00412933
04:21:06:18:00,66.3652,130.791,90.8652,32.2267,0.394812
04:21:06:19:00,68.089,135.161,93.9713,32.3083,0.656369
04:21:06:20:00,69.9017,140.374,97.099,32.3817,0.662461
04:21:06:21:00,71.3405,143.259,99.831,32.4,0.565581
04:21:06:22:00,72.5072,147.501,102.439,32.4,0.41302
04:21:06:23:00,74.1333,149.743,105.145,32.4,0.579475
04:21:06:24:00,75.5967,152.128,107.973,32.4,0.43945
04:21:06:25:00,76.821,155.884,110.673,32.4,0.482082
04:21:06:26:00,78.1978,160.668,113.513,32.3933,0.381485
04:21:06:27:00,79.8862,163.939,116.607,32.4,0.400482
04:21:06:28:00,81.4017,167.152,119.577,32.4,0.431634
04:21:06:29:00,82.8537,170.737,122.549,32.4,0.115399
04:21:06:30:00,84.0563,174.864,125.392,32.4,0
04:21:06:31:00,85.3962,179.063,128.338,32.4533,0
04:21:06:32:00,86.8273,182.505,131.384,32.5,0.149173
04:21:06:33:00,88.3422,187.846,134.878,32.5,0.125454
04:21:06:34:00,89.654,190.931,137.9,32.5183,0.400444
04:21:06:35:00,90.9968,193.859,140.741,32.535,0.124154
04:21:06:36:00,92.4348,195.487,143.497,32.6,0.131966
04:21:06:37:00,94.1632,199.372,147.233,32.6,0.0721015
04:21:06:38:00,95.5628,206.355,150.843,32.6167,0
04:21:06:39:00,96.7585,209.311,153.874,32.7,0.0453855
04:21:06:40:00,98.2772,214.196,157.634,32.7267,0.32414
04:21:06:41:00,99.8862,215.796,160.379,32.8,0.153206
04:21:06:42:00,101.605,221.908,164.658,32.8,0.347032
04:21:06:43:00,103.074,225.064,167.966,32.8833,0.475131
04:21:06:44:00,104.423,229.035,171.516,32.9,0.465261
04:21:06:45:00,105.923,233.148,175.214,32.9333,0.495906
04:21:06:46:00,107.331,236.961,178.526,33,0.216608
04:21:06:47:00,108.286,240.66,181.353,33,0.165541
04:21:06:48:00,109.579,244.916,184.574,33.0867,0.277409
04:21:06:49:00,110.677,248.843,188.074,33.1167,0.329328
04:21:06:50:00,111.813,252.485,191.277,33.1917,0.365461
04:21:06:51:00,113.028,257.969,194.956,33.2,0.473851
04:21:06:52:00,114.237,260.954,198.148,33.285,0.410039
04:21:06:53:00,115.676,262.582,201.277,33.3,0.242806
04:21:06:54:00,117.156,266.166,204.863,33.3617,0.243585
04:21:06:55:00,118.615,269.123,208.329,33.4017,0.355843
04:21:06:56:00,119.967,273.036,211.932,33.4433,0.131434
04:21:06:57:00,121.355,278.306,216.187,33.5,0.287831
04:21:06:58:00,122.735,284.233,220.491,33.575,0.398025
04:21:06:59:00,123.962,287.332,223.885,33.6,0.457375
04:21:07:00:00,125.074,291.274,227.744,33.6517,0.25422
04:21:07:01:00,126.358,296.915,231.815,33.71,0.379899
04:21:07:02:00,127.608,299.886,235.553,33.8,0.465414
04:21:07:03:00,128.852,306.112,240.224,33.8383,0.487285
04:21:07:04:00,130.092,308.726,243.414,33.9,0.62006
04:21:07:05:00,131.281,310.925,246.707,33.91,0.576279
04:21:07:06:00,132.668,311.797,249.538,33.995,0.811574
04:21:07:07:00,134.03,315.039,253.055,34.0317,0.576387
04:21:07:08:00,134.503,318.123,255.867,34.1,0.52354
04:21:07:09:00,135.172,320.823,258.637,34.1067,0.307495
04:21:07:10:00,136.128,323.45,262.108,34.1983,0.402544
04:21:07:11:00,137.232,328.492,266.432,34.2,0.430622
04:21:07:12:00,138.306,333.319,270.445,34.2817,0.499241
04:21:07:13:00,139.455,337.832,274.895,34.305,0.36855
04:21:07:14:00,140.503,342.302,278.647,34.35,0.304644
04:21:07:15:00,141.953,345.844,282.985,34.4,0.651211
04:21:07:16:00,143.577,350.114,287.823,34.4717,0.615056
04:21:07:17:00,144.567,353.356,291.481,34.5,0.324738
04:21:07:18:00,145.738,354.356,294.306,34.5317,0.660607
04:21:07:19:00,147.126,359.512,299.335,34.6,0.451763
04:21:07:20:00,148.072,365.653,304.196,34.6,0.230427
04:21:07:21:00,149.074,369.637,308.587,34.68,0.977439
04:21:07:22:00,150.415,374.707,313.319,34.7183,0.937077
04:21:07:23:00,152.245,379.12,318.458,34.7983,1.07121
04:21:07:24:00,152.879,382.905,322.214,34.81,0.584793
04:21:07:25:00,152.751,386.518,325.372,34.8933,0.772139
04:21:07:26:00,153.214,392.902,329.963,34.9,0.653219
04:21:07:27:00,153.713,393.673,332.054,34.9333,0.877249
04:21:07:28:00,154.522,396.83,336.005,35,0.622098
04:21:07:29:00,154.836,402.156,340.436,35,0.423595
04:21:07:30:00,155.354,408.597,345.411,35.055,0.567543
04:21:07:31:00,156.533,413.725,350.301,35.1,0.528817
04:21:07:32:00,157.418,419.48,355.607,35.1,0.646973
04:21:07:33:00,158.687,423.108,360.249,35.1867,0.519578
04:21:07:34:00,159.717,427.792,365.024,35.2,0.43942
04:21:07:35:00,160.786,431.277,369.068,35.215,0.493216
04:21:07:36:00,161.901,429.634,370.639,35.3,0.501394
04:21:07:37:00,162.991,429.749,373.781,35.3083,0.701475
